headline,body,label
"Shanghai port reports 4-day backlog due to congestion","Container ships queue at Shanghai port anchorage as terminal operators struggle with unprecedented volume surge. Average vessel wait time has increased to 96 hours.",port_delay
"Rotterdam port delays worsen amid labor shortages","The Port of Rotterdam faces significant berthing delays as staff shortages compound with peak shipping season demand.",port_delay
"Singapore port congestion reaches 3-year high","Vessel waiting times at the Port of Singapore have surged to levels not seen since the pandemic peak, with over 40 ships at anchorage.",port_delay
"Port of Los Angeles declares congestion emergency","LA port officials announce emergency measures as container backlog exceeds 100 vessels waiting for berth allocation.",port_delay
"Hamburg port terminal shutdown after crane malfunction","Operations at Hamburg's Eurogate terminal halted for 48 hours following critical crane failure affecting Container Terminal 4.",port_delay
"Busan port operations disrupted by typhoon preparations","South Korea's largest port suspends loading operations as Typhoon Khanun approaches the Korean Peninsula.",port_delay
"Dubai Jebel Ali port faces customs processing delays","New UAE import regulations cause 72-hour processing delays at Jebel Ali Free Zone for electronics shipments.",port_delay
"Panama Canal restrictions reduce daily vessel transits","Drought conditions force Panama Canal Authority to cut daily transit slots from 36 to 24 vessels.",port_delay
"Mumbai JNPT port hit by severe waterlogging","Heavy monsoon rains cause flooding at Jawaharlal Nehru Port Trust, suspending container movement for 36 hours.",port_delay
"Antwerp port workers stage wildcat protest over safety","Dock workers at Belgium's largest port walk off the job citing unsafe container stacking practices.",port_delay
"Congestion at Ningbo port delays electronics exports","China's second-busiest port faces 5-day average waiting time amid peak holiday shipping demand.",port_delay
"Chennai port container yard reaches full capacity","India's Chennai port temporarily stops accepting new containers as yard utilization hits 100 percent.",port_delay
"Suez Canal blocked by grounded container ship","A 400-meter container vessel runs aground in the Suez Canal, blocking all north and southbound traffic.",port_delay
"Long Beach port trucking bottleneck worsens","Truck wait times at Long Beach terminals exceed 8 hours as chassis shortage compounds congestion.",port_delay
"Felixstowe port strike disrupts UK supply chains","Eight-day strike at Britain's busiest container port diverts vessels to continental European alternatives.",port_delay
"Typhoon Mawar threatens Philippine Sea shipping lanes","Category 4 typhoon forces rerouting of trans-Pacific vessel traffic through alternative shipping corridors.",weather_event
"Hurricane season forecast predicts above-average Gulf storms","NOAA projects 17-21 named storms for 2024 Atlantic season threatening Gulf Coast port operations.",weather_event
"Cyclone Biparjoy disrupts Arabian Sea shipping routes","Severe cyclonic storm in the Arabian Sea forces suspension of shipping between India and Gulf states.",weather_event
"Extreme flooding shuts down Rhine River barges","Record water levels on the Rhine force suspension of inland waterway transport connecting Rotterdam to industrial Germany.",weather_event
"Earthquake damages port infrastructure in southern Turkey","6.4 magnitude earthquake strikes near Iskenderun port, collapsing container gantries and damaging quay walls.",weather_event
"Tsunami warning issued for Pacific Rim ports","Magnitude 7.8 earthquake off Chile triggers tsunami alerts across Pacific basin shipping lanes.",weather_event
"Severe drought grounds Mississippi River barge traffic","Historic low water levels on Mississippi River halt grain barge shipments from US heartland.",weather_event
"Ice storm closes Great Lakes shipping lanes","Coast Guard closes portions of Great Lakes to commercial traffic as severe ice formation blocks navigation channels.",weather_event
"Heavy fog blankets English Channel forcing port closures","Dense fog conditions force temporary closure of Dover and Calais ports disrupting cross-Channel freight.",weather_event
"Monsoon flooding closes key India-Bangladesh border crossings","Severe monsoon flooding inundates road and rail links between India and Bangladesh halting overland trade.",weather_event
"Wildfire smoke grounds cargo flights at western US airports","Hazardous air quality from Canadian wildfires forces FAA to restrict cargo operations at multiple airports.",weather_event
"Record heatwave forces Rhine barge weight restrictions","European heat dome drops Rhine water levels forcing barges to reduce cargo loads by 75%.",weather_event
